,max_samples,contamination,n_estimators,max_features,precision,recall,f1
269,24,0.25,200,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
270,auto,0.5,50,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
271,auto,0.5,100,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
272,auto,0.5,200,0.1,0.25,0.5,0.3333333333333333
273,4,0.5,50,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
274,4,0.5,100,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
275,4,0.5,200,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
276,12,0.5,50,0.1,0.25,0.5,0.3333333333333333
277,12,0.5,100,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
278,12,0.5,200,0.1,0.25,0.5,0.3333333333333333
279,16,0.5,50,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
280,16,0.5,100,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
281,16,0.5,200,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
282,24,0.5,50,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
283,24,0.5,100,0.1,0.3333333333333333,0.6666666666666666,0.4444444444444444
284,24,0.5,200,0.1,0.25,0.5,0.3333333333333333
285,auto,0.5,50,0.5,0.25,0.5,0.3333333333333333
286,auto,0.5,100,0.5,0.25,0.5,0.3333333333333333
287,auto,0.5,200,0.5,0.25,0.5,0.3333333333333333
288,4,0.5,50,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556
289,4,0.5,100,0.5,0.45454545454545453,0.8333333333333334,0.5882352941176471
290,4,0.5,200,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
291,12,0.5,50,0.5,0.25,0.5,0.3333333333333333
292,12,0.5,100,0.5,0.25,0.5,0.3333333333333333
293,12,0.5,200,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
294,16,0.5,50,0.5,0.25,0.5,0.3333333333333333
295,16,0.5,100,0.5,0.25,0.5,0.3333333333333333
296,16,0.5,200,0.5,0.25,0.5,0.3333333333333333
297,24,0.5,50,0.5,0.25,0.5,0.3333333333333333
298,24,0.5,100,0.5,0.25,0.5,0.3333333333333333
299,24,0.5,200,0.5,0.25,0.5,0.3333333333333333
300,auto,0.5,50,1.0,0.25,0.5,0.3333333333333333
301,auto,0.5,100,1.0,0.25,0.5,0.3333333333333333
302,auto,0.5,200,1.0,0.25,0.5,0.3333333333333333
303,4,0.5,50,1.0,0.25,0.5,0.3333333333333333
304,4,0.5,100,1.0,0.2727272727272727,0.5,0.35294117647058826
305,4,0.5,200,1.0,0.2727272727272727,0.5,0.35294117647058826
306,12,0.5,50,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
307,12,0.5,100,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
308,12,0.5,200,1.0,0.25,0.5,0.3333333333333333
309,16,0.5,50,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
310,16,0.5,100,1.0,0.3333333333333333,0.6666666666666666,0.4444444444444444
311,16,0.5,200,1.0,0.25,0.5,0.3333333333333333
312,24,0.5,50,1.0,0.25,0.5,0.3333333333333333
313,24,0.5,100,1.0,0.25,0.5,0.3333333333333333
314,24,0.5,200,1.0,0.25,0.5,0.3333333333333333
