,n_neighbors,algorithm,leaf_size,metric,contamination,precision,recall,f1
340,9,auto,5,euclidean,0.05,0.5,0.16666666666666666,0.25
341,12,auto,5,euclidean,0.05,0.0,0.0,0.0
342,18,auto,5,euclidean,0.05,0.0,0.0,0.0
343,1,auto,5,manhattan,0.05,0.0,0.0,0.0
344,3,auto,5,manhattan,0.05,0.0,0.0,0.0
345,5,auto,5,manhattan,0.05,0.5,0.16666666666666666,0.25
346,7,auto,5,manhattan,0.05,0.5,0.16666666666666666,0.25
347,9,auto,5,manhattan,0.05,0.5,0.16666666666666666,0.25
348,12,auto,5,manhattan,0.05,0.0,0.0,0.0
349,18,auto,5,manhattan,0.05,0.0,0.0,0.0
350,1,auto,10,euclidean,0.05,0.0,0.0,0.0
351,3,auto,10,euclidean,0.05,0.0,0.0,0.0
352,5,auto,10,euclidean,0.05,0.0,0.0,0.0
353,7,auto,10,euclidean,0.05,0.5,0.16666666666666666,0.25
354,9,auto,10,euclidean,0.05,0.5,0.16666666666666666,0.25
355,12,auto,10,euclidean,0.05,0.0,0.0,0.0
356,18,auto,10,euclidean,0.05,0.0,0.0,0.0
357,1,auto,10,manhattan,0.05,0.0,0.0,0.0
358,3,auto,10,manhattan,0.05,0.0,0.0,0.0
359,5,auto,10,manhattan,0.05,0.5,0.16666666666666666,0.25
360,7,auto,10,manhattan,0.05,0.5,0.16666666666666666,0.25
361,9,auto,10,manhattan,0.05,0.5,0.16666666666666666,0.25
362,12,auto,10,manhattan,0.05,0.0,0.0,0.0
363,18,auto,10,manhattan,0.05,0.0,0.0,0.0
364,1,auto,15,euclidean,0.05,0.0,0.0,0.0
365,3,auto,15,euclidean,0.05,0.0,0.0,0.0
366,5,auto,15,euclidean,0.05,0.0,0.0,0.0
367,7,auto,15,euclidean,0.05,0.5,0.16666666666666666,0.25
368,9,auto,15,euclidean,0.05,0.5,0.16666666666666666,0.25
369,12,auto,15,euclidean,0.05,0.0,0.0,0.0
370,18,auto,15,euclidean,0.05,0.0,0.0,0.0
371,1,auto,15,manhattan,0.05,0.0,0.0,0.0
372,3,auto,15,manhattan,0.05,0.0,0.0,0.0
373,5,auto,15,manhattan,0.05,0.5,0.16666666666666666,0.25
374,7,auto,15,manhattan,0.05,0.5,0.16666666666666666,0.25
375,9,auto,15,manhattan,0.05,0.5,0.16666666666666666,0.25
376,12,auto,15,manhattan,0.05,0.0,0.0,0.0
377,18,auto,15,manhattan,0.05,0.0,0.0,0.0
378,1,auto,30,euclidean,0.05,0.0,0.0,0.0
379,3,auto,30,euclidean,0.05,0.0,0.0,0.0
380,5,auto,30,euclidean,0.05,0.0,0.0,0.0
381,7,auto,30,euclidean,0.05,0.5,0.16666666666666666,0.25
382,9,auto,30,euclidean,0.05,0.5,0.16666666666666666,0.25
383,12,auto,30,euclidean,0.05,0.0,0.0,0.0
384,18,auto,30,euclidean,0.05,0.0,0.0,0.0
385,1,auto,30,manhattan,0.05,0.0,0.0,0.0
386,3,auto,30,manhattan,0.05,0.0,0.0,0.0
387,5,auto,30,manhattan,0.05,0.5,0.16666666666666666,0.25
388,7,auto,30,manhattan,0.05,0.5,0.16666666666666666,0.25
389,9,auto,30,manhattan,0.05,0.5,0.16666666666666666,0.25
390,12,auto,30,manhattan,0.05,0.0,0.0,0.0
391,18,auto,30,manhattan,0.05,0.0,0.0,0.0
392,1,auto,50,euclidean,0.05,0.0,0.0,0.0
393,3,auto,50,euclidean,0.05,0.0,0.0,0.0
394,5,auto,50,euclidean,0.05,0.0,0.0,0.0
395,7,auto,50,euclidean,0.05,0.5,0.16666666666666666,0.25
396,9,auto,50,euclidean,0.05,0.5,0.16666666666666666,0.25
397,12,auto,50,euclidean,0.05,0.0,0.0,0.0
398,18,auto,50,euclidean,0.05,0.0,0.0,0.0
399,1,auto,50,manhattan,0.05,0.0,0.0,0.0
400,3,auto,50,manhattan,0.05,0.0,0.0,0.0
401,5,auto,50,manhattan,0.05,0.5,0.16666666666666666,0.25
402,7,auto,50,manhattan,0.05,0.5,0.16666666666666666,0.25
403,9,auto,50,manhattan,0.05,0.5,0.16666666666666666,0.25
404,12,auto,50,manhattan,0.05,0.0,0.0,0.0
405,18,auto,50,manhattan,0.05,0.0,0.0,0.0
406,1,auto,100,euclidean,0.05,0.0,0.0,0.0
407,3,auto,100,euclidean,0.05,0.0,0.0,0.0
408,5,auto,100,euclidean,0.05,0.0,0.0,0.0
409,7,auto,100,euclidean,0.05,0.5,0.16666666666666666,0.25
410,9,auto,100,euclidean,0.05,0.5,0.16666666666666666,0.25
411,12,auto,100,euclidean,0.05,0.0,0.0,0.0
412,18,auto,100,euclidean,0.05,0.0,0.0,0.0
413,1,auto,100,manhattan,0.05,0.0,0.0,0.0
414,3,auto,100,manhattan,0.05,0.0,0.0,0.0
415,5,auto,100,manhattan,0.05,0.5,0.16666666666666666,0.25
416,7,auto,100,manhattan,0.05,0.5,0.16666666666666666,0.25
417,9,auto,100,manhattan,0.05,0.5,0.16666666666666666,0.25
418,12,auto,100,manhattan,0.05,0.0,0.0,0.0
419,18,auto,100,manhattan,0.05,0.0,0.0,0.0
