,kernel,degree,coef0,gamma,nu,precision,recall,f1
232,rbf,1,0.0,auto,0.25,0.5714285714285714,0.6666666666666666,0.6153846153846154
233,rbf,1,0.0,auto,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
234,sigmoid,1,0.0,auto,0.01,0.0,0.0,0.0
235,sigmoid,1,0.0,auto,0.05,0.0,0.0,0.0
236,sigmoid,1,0.0,auto,0.1,0.0,0.0,0.0
237,sigmoid,1,0.0,auto,0.2,0.0,0.0,0.0
238,sigmoid,1,0.0,auto,0.25,0.0,0.0,0.0
239,sigmoid,1,0.0,auto,0.5,0.08333333333333333,0.16666666666666666,0.1111111111111111
240,linear,1,0.0,1e-06,0.01,0.0,0.0,0.0
241,linear,1,0.0,1e-06,0.05,0.0,0.0,0.0
242,linear,1,0.0,1e-06,0.1,0.0,0.0,0.0
243,linear,1,0.0,1e-06,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
244,linear,1,0.0,1e-06,0.25,0.0,0.0,0.0
245,linear,1,0.0,1e-06,0.5,0.42857142857142855,1.0,0.6
246,poly,1,0.0,1e-06,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
247,poly,1,0.0,1e-06,0.05,0.4,0.6666666666666666,0.5
248,poly,1,0.0,1e-06,0.1,0.3333333333333333,1.0,0.5
249,poly,1,0.0,1e-06,0.2,0.38461538461538464,0.8333333333333334,0.5263157894736842
250,poly,1,0.0,1e-06,0.25,0.625,0.8333333333333334,0.7142857142857143
251,poly,1,0.0,1e-06,0.5,0.15,0.5,0.23076923076923078
252,rbf,1,0.0,1e-06,0.01,0.25,1.0,0.4
253,rbf,1,0.0,1e-06,0.05,0.22727272727272727,0.8333333333333334,0.35714285714285715
254,rbf,1,0.0,1e-06,0.1,0.38461538461538464,0.8333333333333334,0.5263157894736842
255,rbf,1,0.0,1e-06,0.2,0.2777777777777778,0.8333333333333334,0.4166666666666667
256,rbf,1,0.0,1e-06,0.25,0.0,0.0,0.0
257,rbf,1,0.0,1e-06,0.5,0.0,0.0,0.0
258,sigmoid,1,0.0,1e-06,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
259,sigmoid,1,0.0,1e-06,0.05,0.4,0.6666666666666666,0.5
260,sigmoid,1,0.0,1e-06,0.1,0.3333333333333333,1.0,0.5
261,sigmoid,1,0.0,1e-06,0.2,0.38461538461538464,0.8333333333333334,0.5263157894736842
262,sigmoid,1,0.0,1e-06,0.25,0.625,0.8333333333333334,0.7142857142857143
263,sigmoid,1,0.0,1e-06,0.5,0.15,0.5,0.23076923076923078
264,linear,1,0.0,0.0001,0.01,0.0,0.0,0.0
265,linear,1,0.0,0.0001,0.05,0.0,0.0,0.0
266,linear,1,0.0,0.0001,0.1,0.0,0.0,0.0
267,linear,1,0.0,0.0001,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
268,linear,1,0.0,0.0001,0.25,0.0,0.0,0.0
269,linear,1,0.0,0.0001,0.5,0.42857142857142855,1.0,0.6
270,poly,1,0.0,0.0001,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
271,poly,1,0.0,0.0001,0.05,0.36363636363636365,0.6666666666666666,0.47058823529411764
272,poly,1,0.0,0.0001,0.1,0.0,0.0,0.0
273,poly,1,0.0,0.0001,0.2,0.2608695652173913,1.0,0.41379310344827586
274,poly,1,0.0,0.0001,0.25,0.2608695652173913,1.0,0.41379310344827586
275,poly,1,0.0,0.0001,0.5,0.0,0.0,0.0
276,rbf,1,0.0,0.0001,0.01,0.0,0.0,0.0
277,rbf,1,0.0,0.0001,0.05,0.0,0.0,0.0
278,rbf,1,0.0,0.0001,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
279,rbf,1,0.0,0.0001,0.2,0.2,0.16666666666666666,0.18181818181818182
280,rbf,1,0.0,0.0001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
281,rbf,1,0.0,0.0001,0.5,0.38461538461538464,0.8333333333333334,0.5263157894736842
282,sigmoid,1,0.0,0.0001,0.01,0.29411764705882354,0.8333333333333334,0.43478260869565216
283,sigmoid,1,0.0,0.0001,0.05,0.36363636363636365,0.6666666666666666,0.47058823529411764
284,sigmoid,1,0.0,0.0001,0.1,0.0,0.0,0.0
285,sigmoid,1,0.0,0.0001,0.2,0.2608695652173913,1.0,0.41379310344827586
286,sigmoid,1,0.0,0.0001,0.25,0.2608695652173913,1.0,0.41379310344827586
287,sigmoid,1,0.0,0.0001,0.5,0.0,0.0,0.0
288,linear,1,0.0,0.001,0.01,0.0,0.0,0.0
289,linear,1,0.0,0.001,0.05,0.0,0.0,0.0
290,linear,1,0.0,0.001,0.1,0.0,0.0,0.0
291,linear,1,0.0,0.001,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
292,linear,1,0.0,0.001,0.25,0.0,0.0,0.0
293,linear,1,0.0,0.001,0.5,0.42857142857142855,1.0,0.6
294,poly,1,0.0,0.001,0.01,0.09090909090909091,0.16666666666666666,0.11764705882352941
295,poly,1,0.0,0.001,0.05,0.08333333333333333,0.16666666666666666,0.1111111111111111
296,poly,1,0.0,0.001,0.1,0.0,0.0,0.0
297,poly,1,0.0,0.001,0.2,0.2608695652173913,1.0,0.41379310344827586
298,poly,1,0.0,0.001,0.25,0.375,1.0,0.5454545454545454
299,poly,1,0.0,0.001,0.5,0.0,0.0,0.0
300,rbf,1,0.0,0.001,0.01,0.3333333333333333,0.16666666666666666,0.2222222222222222
301,rbf,1,0.0,0.001,0.05,0.0,0.0,0.0
302,rbf,1,0.0,0.001,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
303,rbf,1,0.0,0.001,0.2,0.4,0.3333333333333333,0.36363636363636365
304,rbf,1,0.0,0.001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
305,rbf,1,0.0,0.001,0.5,0.38461538461538464,0.8333333333333334,0.5263157894736842
306,sigmoid,1,0.0,0.001,0.01,0.1,0.16666666666666666,0.125
307,sigmoid,1,0.0,0.001,0.05,0.09090909090909091,0.16666666666666666,0.11764705882352941
308,sigmoid,1,0.0,0.001,0.1,0.0,0.0,0.0
309,sigmoid,1,0.0,0.001,0.2,0.2608695652173913,1.0,0.41379310344827586
310,sigmoid,1,0.0,0.001,0.25,0.375,1.0,0.5454545454545454
311,sigmoid,1,0.0,0.001,0.5,0.0,0.0,0.0
312,linear,1,0.0,0.01,0.01,0.0,0.0,0.0
313,linear,1,0.0,0.01,0.05,0.0,0.0,0.0
314,linear,1,0.0,0.01,0.1,0.0,0.0,0.0
315,linear,1,0.0,0.01,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
316,linear,1,0.0,0.01,0.25,0.0,0.0,0.0
317,linear,1,0.0,0.01,0.5,0.42857142857142855,1.0,0.6
318,poly,1,0.0,0.01,0.01,0.0,0.0,0.0
319,poly,1,0.0,0.01,0.05,0.0,0.0,0.0
320,poly,1,0.0,0.01,0.1,0.0,0.0,0.0
321,poly,1,0.0,0.01,0.2,0.2608695652173913,1.0,0.41379310344827586
322,poly,1,0.0,0.01,0.25,0.375,1.0,0.5454545454545454
323,poly,1,0.0,0.01,0.5,0.2608695652173913,1.0,0.41379310344827586
324,rbf,1,0.0,0.01,0.01,0.0,0.0,0.0
325,rbf,1,0.0,0.01,0.05,0.5,0.16666666666666666,0.25
326,rbf,1,0.0,0.01,0.1,1.0,0.16666666666666666,0.2857142857142857
327,rbf,1,0.0,0.01,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
328,rbf,1,0.0,0.01,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
329,rbf,1,0.0,0.01,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
330,sigmoid,1,0.0,0.01,0.01,0.0,0.0,0.0
331,sigmoid,1,0.0,0.01,0.05,0.5,0.16666666666666666,0.25
332,sigmoid,1,0.0,0.01,0.1,0.2,0.16666666666666666,0.18181818181818182
333,sigmoid,1,0.0,0.01,0.2,0.25,0.16666666666666666,0.2
334,sigmoid,1,0.0,0.01,0.25,0.4,0.3333333333333333,0.36363636363636365
335,sigmoid,1,0.0,0.01,0.5,0.2857142857142857,0.6666666666666666,0.4
336,linear,1,0.0,0.1,0.01,0.0,0.0,0.0
337,linear,1,0.0,0.1,0.05,0.0,0.0,0.0
338,linear,1,0.0,0.1,0.1,0.0,0.0,0.0
339,linear,1,0.0,0.1,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
340,linear,1,0.0,0.1,0.25,0.0,0.0,0.0
341,linear,1,0.0,0.1,0.5,0.42857142857142855,1.0,0.6
342,poly,1,0.0,0.1,0.01,0.0,0.0,0.0
343,poly,1,0.0,0.1,0.05,0.0,0.0,0.0
344,poly,1,0.0,0.1,0.1,0.0,0.0,0.0
345,poly,1,0.0,0.1,0.2,0.2608695652173913,1.0,0.41379310344827586
346,poly,1,0.0,0.1,0.25,0.7142857142857143,0.8333333333333334,0.7692307692307693
347,poly,1,0.0,0.1,0.5,0.42857142857142855,1.0,0.6
348,rbf,1,0.0,0.1,0.01,0.4,0.3333333333333333,0.36363636363636365
349,rbf,1,0.0,0.1,0.05,0.25,0.16666666666666666,0.2
350,rbf,1,0.0,0.1,0.1,0.2,0.16666666666666666,0.18181818181818182
351,rbf,1,0.0,0.1,0.2,0.0,0.0,0.0
352,rbf,1,0.0,0.1,0.25,0.2857142857142857,0.3333333333333333,0.3076923076923077
353,rbf,1,0.0,0.1,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556
354,sigmoid,1,0.0,0.1,0.01,0.0,0.0,0.0
355,sigmoid,1,0.0,0.1,0.05,0.0,0.0,0.0
356,sigmoid,1,0.0,0.1,0.1,0.5,0.16666666666666666,0.25
357,sigmoid,1,0.0,0.1,0.2,0.25,0.16666666666666666,0.2
358,sigmoid,1,0.0,0.1,0.25,0.2,0.16666666666666666,0.18181818181818182
359,sigmoid,1,0.0,0.1,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
360,linear,1,0.0,1,0.01,0.0,0.0,0.0
361,linear,1,0.0,1,0.05,0.0,0.0,0.0
362,linear,1,0.0,1,0.1,0.0,0.0,0.0
363,linear,1,0.0,1,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
364,linear,1,0.0,1,0.25,0.0,0.0,0.0
365,linear,1,0.0,1,0.5,0.42857142857142855,1.0,0.6
366,poly,1,0.0,1,0.01,0.0,0.0,0.0
367,poly,1,0.0,1,0.05,0.0,0.0,0.0
368,poly,1,0.0,1,0.1,0.0,0.0,0.0
369,poly,1,0.0,1,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
370,poly,1,0.0,1,0.25,0.0,0.0,0.0
371,poly,1,0.0,1,0.5,0.42857142857142855,1.0,0.6
372,rbf,1,0.0,1,0.01,0.1111111111111111,0.16666666666666666,0.13333333333333333
